SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FOULS_PER36	FOULS_PER36	CHANGE_IN_FP36	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	4.7508532423208191126279863481228668942	4.15384615384615384615384615384615384615	-0.59700708847466526647414019427671304805	62
164	31-OCT-12	Shawn Marion	1.89906371317652432062114638045215802695	1.24137931034482758620689655172413793104	-0.65768440283169673441424982872802009591	62
162	31-OCT-12	Darren Collison	2.19140885822390385043400845760071221901	2.18181818181818181818181818181818181818	-0.00959067640572203225219027578253040083	65
163	31-OCT-12	O.J. Mayo	3.1026271026271026271026271026271026271	4.64516129032258064516129032258064516129	1.54253418769547801805866321995354253419	62
166	31-OCT-12	Brandan Wright	2.77458563535911602209944751381215469613	2.76923076923076923076923076923076923077	-0.00535486612834679133021674458138546536	46
168	31-OCT-12	Vince Carter	3.61515019590770570309098824553765781454	9	5.38484980409229429690901175446234218546	47
167	31-OCT-12	Jae Crowder	2.89774871085398063136712363224751603572	8.18181818181818181818181818181818181818	5.28406947096420118681469454957066578246	42
229	31-OCT-12	Pau Gasol	2.1330352152040245947456679709334823924	2.7	0.5669647847959754052543320290665176076	80
228	31-OCT-12	Dwight Howard	3.58590852904820766378244746600741656366	4.3902439024390243902439024390243902439	0.80433537339081672646145497301697368024	79
231	31-OCT-12	Metta World Peace	3.14853632092518973617636429345861944344	6.54545454545454545454545454545454545454	3.3969182245293557183690902519959260111	69
230	31-OCT-12	Kobe Bryant	2.12789993947952390558805729271736937664	4.73684210526315789473684210526315789474	2.6089421657836339891487848125457885181	73
232	31-OCT-12	Steve Nash	1.46606334841628959276018099547511312217	2.25	0.78393665158371040723981900452488687783	50
233	31-OCT-12	Steve Blake	2.56946913893827787655575311150622301244	0	-2.56946913893827787655575311150622301244	42
259	01-NOV-12	Tony Parker	1.87650712458896602119108512970405553526	3.08571428571428571428571428571428571429	1.20920716112531969309462915601023017903	70
262	01-NOV-12	Tim Duncan	2.44236377590176515732924021488871834229	2.11764705882352941176470588235294117647	-0.32471671707823574556453433253577716582	68
263	01-NOV-12	Kawhi Leonard	2.08840983408017439748092527552379798958	4.5	2.41159016591982560251907472447620201042	66
261	01-NOV-12	Danny Green	2.45265588914549653579676674364896073903	2.05714285714285714285714285714285714286	-0.39551303200263939293962388650610359617	68
260	01-NOV-12	Boris Diaw	2.61276181198246468582562104237700925475	4.11428571428571428571428571428571428571	1.50152390230324959988866467190870503096	65
264	01-NOV-12	Stephen Jackson	3.26238145416227608008429926238145416228	1.33333333333333333333333333333333333333	-1.92904812082894274675096592904812082895	52
457	02-NOV-12	Kevin Durant	1.89388779351138196809464061659795662305	0.8372093023255813953488372093023255813956	-1.05667849118580057274580340729563104165	84
458	02-NOV-12	Russell Westbrook	2.54346067415730337078651685393258426966	1.02857142857142857142857142857142857143	-1.51488924558587479935794542536115569823	72
459	02-NOV-12	Serge Ibaka	3.16725638328392464377928660227598737688	5.33333333333333333333333333333333333333	2.16607695004940868955404673105734595645	58
