SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_TRB_PER36	TRB_PER36	CHANGE_IN_TRBP36	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	9.5426621160409556313993174061433447099	9.69230769230769230769230769230769230769	0.14964557626673667629299028616434759779	62
164	31-OCT-12	Shawn Marion	7.99908654944051153231331354190454441653	13.65517241379310344827586206896551724138	5.65608586435259191596254852706097282485	62
162	31-OCT-12	Darren Collison	3.10082350322724237703093701313153794792	4.36363636363636363636363636363636363636	1.26281286040912125933269935050482568844	65
163	31-OCT-12	O.J. Mayo	3.60612360612360612360612360612360612361	4.64516129032258064516129032258064516129	1.03903768419897452155516671645703903768	62
166	31-OCT-12	Brandan Wright	8.13480662983425414364640883977900552486	4.15384615384615384615384615384615384615	-3.98096047598810029749256268593285167871	46
168	31-OCT-12	Vince Carter	5.13539399216369177187636047017849368742	1.8	-3.33539399216369177187636047017849368742	47
167	31-OCT-12	Jae Crowder	5.56911080367249402590869073072569488115	4.90909090909090909090909090909090909091	-0.66001989458158493499959982163478579024	42
229	31-OCT-12	Pau Gasol	11.55461151481274455002794857462269424259	8.1	-3.45461151481274455002794857462269424259	80
228	31-OCT-12	Dwight Howard	13.76143386897404202719406674907292954264	12.29268292682926829268292682926829268293	-1.46875094214477373451113991980463685971	79
231	31-OCT-12	Metta World Peace	5.39934947596675099385616190820383086375	3.27272727272727272727272727272727272727	-2.12662220323947826658343463547655813648	69
230	31-OCT-12	Kobe Bryant	5.31611862013314504740770627395602178737	5.68421052631578947368421052631578947368	0.36809190618264442627650425235976768631	73
232	31-OCT-12	Steve Nash	3.16483516483516483516483516483516483516	9	5.83516483516483516483516483516483516484	50
233	31-OCT-12	Steve Blake	3.52959105918211836423672847345694691389	3.85714285714285714285714285714285714286	0.32755179796073877862041438368591022897	42
259	01-NOV-12	Tony Parker	2.88052612349287541103397880891487029595	3.08571428571428571428571428571428571429	0.20518816222141030325173547679941541834	70
262	01-NOV-12	Tim Duncan	11.57636224098234842670759785111281657713	8.47058823529411764705882352941176470588	-3.10577400568823077964877432170105187125	68
