SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_ORB_PER36	ORB_PER36	CHANGE_IN_ORBP36	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	2.55290102389078498293515358361774744027	4.15384615384615384615384615384615384615	1.60094512995536886321869257022840640588	62
164	31-OCT-12	Shawn Marion	2.2196848595569764786480931719570678237	2.48275862068965517241379310344827586207	0.26307376113267869376569993149120803837	62
162	31-OCT-12	Darren Collison	0.5608724682839973291787224571555753394172	1.09090909090909090909090909090909090909	0.5300366226250935799121866337535155696728	65
163	31-OCT-12	O.J. Mayo	0.5239085239085239085239085239085239085256	0	-0.5239085239085239085239085239085239085256	62
166	31-OCT-12	Brandan Wright	3.14254143646408839779005524861878453039	0	-3.14254143646408839779005524861878453039	46
168	31-OCT-12	Vince Carter	0.9455811928602525032651284283848498040928	0	-0.9455811928602525032651284283848498040928	47
167	31-OCT-12	Jae Crowder	1.07307256948811470255313797006665828198	0	-1.07307256948811470255313797006665828198	42
229	31-OCT-12	Pau Gasol	2.61598658468418110676355505869200670766	2.7	0.08401341531581889323644494130799329234	80
228	31-OCT-12	Dwight Howard	3.83807169344870210135970333745364647713	5.26829268292682926829268292682926829268	1.43022098947812716693297958937562181555	79
231	31-OCT-12	Metta World Peace	1.44416335381279363932056378749548247199	0	-1.44416335381279363932056378749548247199	69
230	31-OCT-12	Kobe Bryant	0.842445027234214242485374218277183780512	1.89473684210526315789473684210526315789	1.05229181487104891540936262382807937738	73
232	31-OCT-12	Steve Nash	0.605042016806722689075630252100840336134	0	-0.605042016806722689075630252100840336134	50
233	31-OCT-12	Steve Blake	0.3840487680975361950723901447802895605808	1.28571428571428571428571428571428571429	0.9016655176167495192133241409339961537092	42
259	01-NOV-12	Tony Parker	0.2586773839970770917062477164778955060285	1.02857142857142857142857142857142857143	0.7698940445743514797223237120935330654015	70
262	01-NOV-12	Tim Duncan	2.61918649270913277052954719877206446662	0	-2.61918649270913277052954719877206446662	68
263	01-NOV-12	Kawhi Leonard	1.40389972144846796657381615598885793872	1.125	-0.27889972144846796657381615598885793872	66
261	01-NOV-12	Danny Green	0.7233256351039260969976905311778290993076	0	-0.7233256351039260969976905311778290993076	68
260	01-NOV-12	Boris Diaw	1.40867023867510959571358986848514369216	1.02857142857142857142857142857142857143	-0.38009881010368102428501843991371512073	65
264	01-NOV-12	Stephen Jackson	0.644889357218124341412012644889357218124	2.66666666666666666666666666666666666667	2.02177730944854232525465402177730944855	52
457	02-NOV-12	Kevin Durant	0.590428392184979386986915217780964330526	1.67441860465116279069767441860465116279	1.08399021246618340371075920082368683226	84
458	02-NOV-12	Russell Westbrook	1.73770786516853932584269662921348314607	1.02857142857142857142857142857142857143	-0.70913643659711075441412520064205457464	72
459	02-NOV-12	Serge Ibaka	2.39609830735392560007650377737400784164	1.33333333333333333333333333333333333333	-1.06276497402059226674317044404067450831	58
460	02-NOV-12	Kendrick Perkins	2.31447794667331173685522053326688263145	1.71428571428571428571428571428571428571	-0.60019223238759745114093481898116834574	49
461	02-NOV-12	Thabo Sefolosha	1.15637319316688567674113009198423127464	2	0.84362680683311432325886990801576872536	45
462	02-NOV-12	Kevin Martin	0.5129179331306990881458966565349544072948	1.24137931034482758620689655172413793104	0.7284613772141284980609998951891835237452	62
463	02-NOV-12	Nick Collison	3.08650165858637407501913753508548099005	0	-3.08650165858637407501913753508548099005	48
572	03-NOV-12	Ty Lawson	0.6358633047484960962498400102393446819408	1.75609756097560975609756097560975609756	1.12023425622711365984772096537041141562	79
573	03-NOV-12	Andre Iguodala	0.9512580271607537635540583219286240656904	0.9	-0.0512580271607537635540583219286240656904	76
574	03-NOV-12	Danilo Gallinari	0.8276492082825822168087697929354445797804	0.972972972972972972972972972972972972972	0.1453237646903907561642031800375283931916	72
576	03-NOV-12	Kosta Koufos	3.83286908077994428969359331476323119777	2.57142857142857142857142857142857142857	-1.2614405093513728611221647433346597692	41
575	03-NOV-12	Kenneth Faried	4.27390791027154663518299881936245572609	7	2.72609208972845336481700118063754427391	56
578	03-NOV-12	Corey Brewer	1.01921598770176787086856264411990776326	1.56521739130434782608695652173913043478	0.54600140360257995521839387761922267152	47
577	03-NOV-12	Andre Miller	0.9235754793410748042128004320820955981632	1.28571428571428571428571428571428571429	0.3621388063732109100729138536321901161268	49
562	03-NOV-12	Paul George	0.9453636013851481338976529434397845325112	0.7499999999999999999999999999999999999988	-0.1953636013851481338976529434397845325124	84
563	03-NOV-12	David West	1.97299444003177124702144559173947577442	3.82978723404255319148936170212765957447	1.85679279401078194446791611038818380005	81
564	03-NOV-12	George Hill	0.7068327162571524739145069000336587007724	1.6	0.8931672837428475260854930999663412992276	79
566	03-NOV-12	Gerald Green	0.745001753770606804629954401964223079622	3	2.25499824622939319537004559803577692038	56
565	03-NOV-12	Roy Hibbert	3.34515608969661439249596951487615418438	4.18604651162790697674418604651162790698	0.8408904219312925842482165316354737226	67
567	03-NOV-12	Lance Stephenson	1.01161848149148878681437449338016752229	0	-1.01161848149148878681437449338016752229	57
659	03-NOV-12	Gerald Henderson	0.7020049436967865970887118923372699807728	3.6	2.89799505630321340291128810766273001923	56
657	03-NOV-12	Kemba Walker	0.598058931537990731835271487278132377372	0	-0.598058931537990731835271487278132377372	64
656	03-NOV-12	Brendan Haywood	3.6	8.12903225806451612903225806451612903226	4.52903225806451612903225806451612903226	62
655	03-NOV-12	Byron Mullens	1.72455089820359281437125748502994011976	3.375	1.65044910179640718562874251497005988024	63
