SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FTP	FT_PERCENTAGE	CHANGE_IN_FTP	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	66.88311688311688311688311688311688311688	50	-16.88311688311688311688311688311688311688	62
162	31-OCT-12	Darren Collison	86.74157303370786516853932584269662921348	100	13.25842696629213483146067415730337078652	65
163	31-OCT-12	O.J. Mayo	81.41361256544502617801047120418848167539	75	-6.41361256544502617801047120418848167539	62
166	31-OCT-12	Brandan Wright	69.07894736842105263157894736842105263158	50	-19.07894736842105263157894736842105263158	46
168	31-OCT-12	Vince Carter	79.62962962962962962962962962962962962963	100	20.37037037037037037037037037037037037037	47
167	31-OCT-12	Jae Crowder	79.58860759493670886075949367088607594937	0	-79.58860759493670886075949367088607594937	42
229	31-OCT-12	Pau Gasol	76.51785714285714285714285714285714285714	100	23.48214285714285714285714285714285714286	80
228	31-OCT-12	Dwight Howard	51.75624206517139229792636479052052475667	78.94736842105263157894736842105263157895	27.19112635588123928102100363053210682228	79
230	31-OCT-12	Kobe Bryant	82.24917309812568908489525909592061742007	85.71428571428571428571428571428571428571	3.46511261616002520081902661836509686564	73
259	01-NOV-12	Tony Parker	79.15234822451317296678121420389461626575	50	-29.15234822451317296678121420389461626575	70
262	01-NOV-12	Tim Duncan	75.08731082654249126891734575087310826542	66.66666666666666666666666666666666666667	-8.42064415987582460225067908420644159875	68
263	01-NOV-12	Kawhi Leonard	84.97560975609756097560975609756097560976	100	15.02439024390243902439024390243902439024	66
260	01-NOV-12	Boris Diaw	73.6654804270462633451957295373665480427	50	-23.6654804270462633451957295373665480427	65
264	01-NOV-12	Stephen Jackson	62.26415094339622641509433962264150943396	100	37.73584905660377358490566037735849056604	52
457	02-NOV-12	Kevin Durant	88.88888888888888888888888888888888888889	66.66666666666666666666666666666666666667	-22.22222222222222222222222222222222222222	84
458	02-NOV-12	Russell Westbrook	81.49028933808957590170432025366627031312	75	-6.49028933808957590170432025366627031312	72
459	02-NOV-12	Serge Ibaka	79.60122699386503067484662576687116564417	50	-29.60122699386503067484662576687116564417	58
462	02-NOV-12	Kevin Martin	88.69680851063829787234042553191489361702	100	11.30319148936170212765957446808510638298	62
463	02-NOV-12	Nick Collison	70.77625570776255707762557077625570776256	100	29.22374429223744292237442922374429223744	48
573	03-NOV-12	Andre Iguodala	61.26418152350081037277147487844408427877	50	-11.26418152350081037277147487844408427877	76
574	03-NOV-12	Danilo Gallinari	87.53202391118701964133219470538001707942	66.66666666666666666666666666666666666667	-20.86535724452035297466552803871335041275	72
575	03-NOV-12	Kenneth Faried	66.05058365758754863813229571984435797665	0	-66.05058365758754863813229571984435797665	56
577	03-NOV-12	Andre Miller	78.92857142857142857142857142857142857143	100	21.07142857142857142857142857142857142857	49
562	03-NOV-12	Paul George	84.88135593220338983050847457627118644068	100	15.11864406779661016949152542372881355932	84
563	03-NOV-12	David West	76.51195499296765119549929676511954992968	100	23.48804500703234880450070323488045007032	81
564	03-NOV-12	George Hill	79.13279132791327913279132791327913279133	80	0.86720867208672086720867208672086720867	79
566	03-NOV-12	Gerald Green	81.85941043083900226757369614512471655329	100	18.14058956916099773242630385487528344671	56
565	03-NOV-12	Roy Hibbert	78.40579710144927536231884057971014492754	0	-78.40579710144927536231884057971014492754	67
567	03-NOV-12	Lance Stephenson	67.87762906309751434034416826003824091778	100	32.12237093690248565965583173996175908222	57
659	03-NOV-12	Gerald Henderson	81.34969325153374233128834355828220858896	75	-6.34969325153374233128834355828220858896	56
657	03-NOV-12	Kemba Walker	82.92375551354757403906742281033396345306	100	17.07624448645242596093257718966603654694	64
658	03-NOV-12	Michael Kidd-Gilchrist	70.56338028169014084507042253521126760563	55.55555555555555555555555555555555555556	-15.00782472613458528951486697965571205007	47
661	03-NOV-12	Ben Gordon	85.33333333333333333333333333333333333333	100	14.66666666666666666666666666666666666667	41
660	03-NOV-12	Ramon Sessions	78.86255924170616113744075829383886255924	100	21.13744075829383886255924170616113744076	49
692	03-NOV-12	Monta Ellis	76.63896583564173591874422899353647276085	75	-1.63896583564173591874422899353647276085	73
691	03-NOV-12	Brandon Jennings	79.41176470588235294117647058823529411765	100	20.58823529411764705882352941176470588235	66
