SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_TURNOVERS_PER36	TURNOVERS_PER36	CHANGE_IN_TP36	COMBINED_MINUTES
562	03-NOV-12	Paul George	2.91573682185455944594074644093882262409	3	0.08426317814544055405925355906117737591	84
563	03-NOV-12	David West	2.28276409849086576648133439237490071485	0.765957446808510638297872340425531914894	-1.51680665168235512818346205194936879996	81
564	03-NOV-12	George Hill	1.56714910804442948502187815550319757657	2.4	0.83285089195557051497812184449680242343	79
566	03-NOV-12	Gerald Green	1.9130129779024903542616625745352507892	3	1.0869870220975096457383374254647492108	56
565	03-NOV-12	Roy Hibbert	2.06829840246226000293126190825150227173	1.67441860465116279069767441860465116279	-0.39387979781109721223358748964685110894	67
567	03-NOV-12	Lance Stephenson	2.46095649824371791407727641178059983788	2.25	-0.21095649824371791407727641178059983788	57
659	03-NOV-12	Gerald Henderson	1.7006316945893985168909640208733864323	1.8	0.0993683054106014831090359791266135677	56
657	03-NOV-12	Kemba Walker	2.30410072571478534580746699309259421177	1.16129032258064516129032258064516129032	-1.14281040313414018451714441244743292145	64
656	03-NOV-12	Brendan Haywood	1.84	0	-1.84	62
655	03-NOV-12	Byron Mullens	2.07485029940119760479041916167664670659	1.125	-0.94985029940119760479041916167664670659	63
658	03-NOV-12	Michael Kidd-Gilchrist	1.2357341939269473375385066744902449758	4	2.7642658060730526624614933255097550242	47
661	03-NOV-12	Ben Gordon	2.94843276036400404448938321536905965622	1.89473684210526315789473684210526315789	-1.05369591825874088659464637326379649833	41
660	03-NOV-12	Ramon Sessions	2.50860289057123193392980041293874741913	1.28571428571428571428571428571428571429	-1.22288860485694621964408612722446170484	49
692	03-NOV-12	Monta Ellis	2.82394366197183098591549295774647887324	5	2.17605633802816901408450704225352112676	73
694	03-NOV-12	Tobias Harris	1.53769779708346261247285138070121005275	5.53846153846153846153846153846153846154	4.00076374137807584906561015776032840879	46
691	03-NOV-12	Brandon Jennings	2.68271711092003439380911435941530524506	3.89189189189189189189189189189189189189	1.20917478097185749808277753247658664683	66
693	03-NOV-12	Ersan Ilyasova	1.42465753424657534246575342465753424658	1.33333333333333333333333333333333333333	-0.09132420091324200913242009132420091325	52
