SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FTR	FT_RATE	CHANGE_IN_FTR	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	21.44846796657381615598885793871866295265	25	3.55153203342618384401114206128133704735	62
164	31-OCT-12	Shawn Marion	11.87214611872146118721461187214611872146	0	-11.87214611872146118721461187214611872146	62
162	31-OCT-12	Darren Collison	29.59760558696375124709012304622547389425	25	-4.59760558696375124709012304622547389425	65
163	31-OCT-12	O.J. Mayo	19.54964176049129989764585465711361310133	44.44444444444444444444444444444444444444	24.89480268395314454679858978733083134311	62
166	31-OCT-12	Brandan Wright	28.57142857142857142857142857142857142857	25	-3.57142857142857142857142857142857142857	46
168	31-OCT-12	Vince Carter	21.99592668024439918533604887983706720978	33.33333333333333333333333333333333333333	11.33740665308893414799728445349626612355	47
167	31-OCT-12	Jae Crowder	25.88042588042588042588042588042588042588	18.18181818181818181818181818181818181818	-7.6986076986076986076986076986076986077	42
229	31-OCT-12	Pau Gasol	30.76923076923076923076923076923076923077	14.28571428571428571428571428571428571429	-16.48351648351648351648351648351648351648	80
228	31-OCT-12	Dwight Howard	77.88398154251812788398154251812788398154	126.666666666666666666666666666666666667	48.78268512414853878268512414853878268546	79
231	31-OCT-12	Metta World Peace	23.50282485875706214689265536723163841808	0	-23.50282485875706214689265536723163841808	69
230	31-OCT-12	Kobe Bryant	33.00582241630276564774381368267831149927	35	1.99417758369723435225618631732168850073	73
232	31-OCT-12	Steve Nash	24.16107382550335570469798657718120805369	0	-24.16107382550335570469798657718120805369	50
233	31-OCT-12	Steve Blake	12	0	-12	42
259	01-NOV-12	Tony Parker	26.44653135413511057255377158436837322024	15.38461538461538461538461538461538461538	-11.06191596951972595716915619975298860486	70
262	01-NOV-12	Tim Duncan	33.54158531823506442795782897305739945334	31.57894736842105263157894736842105263158	-1.96263794981401179637888160463634682176	68
263	01-NOV-12	Kawhi Leonard	30.02343292325717633274751025190392501465	25	-5.02343292325717633274751025190392501465	66
261	01-NOV-12	Danny Green	10.89341692789968652037617554858934169279	0	-10.89341692789968652037617554858934169279	68
260	01-NOV-12	Boris Diaw	17.04063068526379624014554275318374772589	66.66666666666666666666666666666666666667	49.62603598140287042652112391348291894078	65
264	01-NOV-12	Stephen Jackson	18.40277777777777777777777777777777777778	20	1.59722222222222222222222222222222222222	52
457	02-NOV-12	Kevin Durant	40.95940959409594095940959409594095940959	85.71428571428571428571428571428571428571	44.75487612018977332630469161834475487612	84
458	02-NOV-12	Russell Westbrook	39.05572755417956656346749226006191950464	33.33333333333333333333333333333333333333	-5.72239422084623323013415892672858617131	72
459	02-NOV-12	Serge Ibaka	17.40523224773091297383876134543513080619	18.18181818181818181818181818181818181818	0.77658593408726884434305683638305101199	58
460	02-NOV-12	Kendrick Perkins	31.89269746646795827123695976154992548435	0	-31.89269746646795827123695976154992548435	49
461	02-NOV-12	Thabo Sefolosha	17.85714285714285714285714285714285714286	0	-17.85714285714285714285714285714285714286	45
462	02-NOV-12	Kevin Martin	33.93501805054151624548736462093862815884	54.54545454545454545454545454545454545455	20.61043649491302920905808992451591729571	62
463	02-NOV-12	Nick Collison	29.31726907630522088353413654618473895582	33.33333333333333333333333333333333333333	4.01606425702811244979919678714859437751	48
572	03-NOV-12	Ty Lawson	38.21536144578313253012048192771084337349	0	-38.21536144578313253012048192771084337349	79
573	03-NOV-12	Andre Iguodala	27.09705753184014053579270970575318401405	26.66666666666666666666666666666666666667	-0.43039086517347386912604303908651734738	76
574	03-NOV-12	Danilo Gallinari	47.69857433808553971486761710794297352342	52.94117647058823529411764705882352941176	5.24260213250269557925002995088055588834	72
576	03-NOV-12	Kosta Koufos	21.15895800106326422115895800106326422116	0	-21.15895800106326422115895800106326422116	41
575	03-NOV-12	Kenneth Faried	39.35681470137825421133231240428790199081	6.66666666666666666666666666666666666667	-32.69014803471158754466564573762123532414	56
578	03-NOV-12	Corey Brewer	26.63447251114413075780089153046062407132	0	-26.63447251114413075780089153046062407132	47
577	03-NOV-12	Andre Miller	29.97858672376873661670235546038543897216	10	-19.97858672376873661670235546038543897216	49
562	03-NOV-12	Paul George	30.07135575942915392456676860346585117227	13.33333333333333333333333333333333333333	-16.73802242609582059123343527013251783894	84
563	03-NOV-12	David West	26.32358385783043317289892632358385783043	19.04761904761904761904761904761904761905	-7.27596481021138555385130727596481021138	81
564	03-NOV-12	George Hill	25.98591549295774647887323943661971830986	29.41176470588235294117647058823529411765	3.42584921292460646230323115161557580779	79
566	03-NOV-12	Gerald Green	17.86148238153098420413122721749696233293	44.44444444444444444444444444444444444444	26.58296206291346024031321722694748211151	56
565	03-NOV-12	Roy Hibbert	32.28825456247075339260645765091249415068	18.18181818181818181818181818181818181818	-14.1064363806525715744246394690943123325	67
567	03-NOV-12	Lance Stephenson	21.60264353572903758777364725320115654688	8.33333333333333333333333333333333333333	-13.26931020239570425444031391986782321355	57
659	03-NOV-12	Gerald Henderson	30.02947678703021370670596904937361827561	44.44444444444444444444444444444444444444	14.41496765741423073773847539507082616883	56
657	03-NOV-12	Kemba Walker	29.79722117912129177619226436349981224183	20	-9.79722117912129177619226436349981224183	64
656	03-NOV-12	Brendan Haywood	38.03680981595092024539877300613496932515	0	-38.03680981595092024539877300613496932515	62
655	03-NOV-12	Byron Mullens	16.38733705772811918063314711359404096834	0	-16.38733705772811918063314711359404096834	63
658	03-NOV-12	Michael Kidd-Gilchrist	36.71147880041365046535677352637021716649	112.5	75.78852119958634953464322647362978283351	47
661	03-NOV-12	Ben Gordon	17.08428246013667425968109339407744874715	33.33333333333333333333333333333333333333	16.24905087319665907365223993925588458618	41
660	03-NOV-12	Ramon Sessions	52.82924386579869804707060590886329494241	38.46153846153846153846153846153846153846	-14.36770540426023650860906744732483340395	49
692	03-NOV-12	Monta Ellis	25.19776640297812936249418334108887854816	40	14.80223359702187063750581665891112145184	73
694	03-NOV-12	Tobias Harris	25.24675324675324675324675324675324675325	0	-25.24675324675324675324675324675324675325	46
691	03-NOV-12	Brandon Jennings	25.36412078152753108348134991119005328597	15.38461538461538461538461538461538461538	-9.97950539691214646809673452657466867059	66
693	03-NOV-12	Ersan Ilyasova	21.24206069160197600564573041637261820748	25	3.75793930839802399435426958362738179252	52
696	03-NOV-12	Mike Dunleavy	19.79604079184163167366526694661067786443	41.66666666666666666666666666666666666667	21.87062587482503499300139972005598880224	58
698	03-NOV-12	Ekpe Udoh	41.32029339853300733496332518337408312958	50	8.67970660146699266503667481662591687042	46
697	03-NOV-12	Larry Sanders	24.372230428360413589364844903988183161	22.22222222222222222222222222222222222222	-2.15000820613819136714262268176596093878	52
530	03-NOV-12	Rajon Rondo	15.51453260015710919088766692851531814611	0	-15.51453260015710919088766692851531814611	81
534	03-NOV-12	Courtney Lee	17.94500723589001447178002894356005788712	0	-17.94500723589001447178002894356005788712	62
531	03-NOV-12	Paul Pierce	35.57422969187675070028011204481792717087	18.18181818181818181818181818181818181818	-17.39241151005856888209829386299974535269	63
535	03-NOV-12	Brandon Bass	34.08845738942826321467098166127292340885	16.66666666666666666666666666666666666667	-17.42179072276159654800431499460625674218	55
533	03-NOV-12	Kevin Garnett	19.45080091533180778032036613272311212815	13.33333333333333333333333333333333333333	-6.11746758199847444698703279938977879482	55
537	03-NOV-12	Jeff Green	29.44630872483221476510067114093959731544	20	-9.44630872483221476510067114093959731544	43
536	03-NOV-12	Jason Terry	12.10013908205841446453407510431154381085	50	37.89986091794158553546592489568845618915	42
532	03-NOV-12	Jared Sullinger	22.3858615611192930780559646539027982327	0	-22.3858615611192930780559646539027982327	48
624	03-NOV-12	Joakim Noah	41.61114476075105996365838885523924894004	33.33333333333333333333333333333333333333	-8.27781142741772663032505552190591560671	75
623	03-NOV-12	Luol Deng	26.71885636487406398910823689584751531654	66.66666666666666666666666666666666666667	39.94781030179260267755842977081915135013	74
627	03-NOV-12	Richard Hamilton	19.84334203655352480417754569190600522193	0	-19.84334203655352480417754569190600522193	46
625	03-NOV-12	Carlos Boozer	21.20418848167539267015706806282722513089	25	3.79581151832460732984293193717277486911	53
626	03-NOV-12	Kirk Hinrich	18.01140994295028524857375713121434392828	0	-18.01140994295028524857375713121434392828	41
629	03-NOV-12	Nate Robinson	20.3597710547833197056418642681929681112	12.5	-7.8597710547833197056418642681929681112	51
628	03-NOV-12	Marco Belinelli	21.11194590533433508640120210368144252442	30	8.88805409466566491359879789631855747558	50
681	03-NOV-12	Anderson Varejao	33.49814585908529048207663782447466007417	0	-33.49814585908529048207663782447466007417	66
683	03-NOV-12	Kyrie Irving	26.00166944908180300500834724540901502504	44.44444444444444444444444444444444444444	18.4427749953626414394360971990354294194	63
682	03-NOV-12	Alonzo Gee	28.57142857142857142857142857142857142857	36.36363636363636363636363636363636363636	7.79220779220779220779220779220779220779	61
685	03-NOV-12	Dion Waiters	21.63604030823947836395969176052163604031	33.33333333333333333333333333333333333333	11.69729302509385496937364157281169729302	54
684	03-NOV-12	Tristan Thompson	43.98762157382847038019451812555260831123	160	116.012378426171529619805481874447391689	54
686	03-NOV-12	Daniel Gibson	17.67955801104972375690607734806629834254	33.33333333333333333333333333333333333333	15.65377532228360957642725598526703499079	42
647	03-NOV-12	James Harden	55.06205094709340300457217504898758981058	41.66666666666666666666666666666666666667	-13.39538428042673633790550838232092314391	81
649	03-NOV-12	Jeremy Lin	37.61242845461978740801308258381030253475	15.38461538461538461538461538461538461538	-22.22781307000440279262846719919491791937	77
650	03-NOV-12	Omer Asik	56.69291338582677165354330708661417322835	0	-56.69291338582677165354330708661417322835	70
646	03-NOV-12	Chandler Parsons	20.08210742387957577830995552514539856312	0	-20.08210742387957577830995552514539856312	78
648	03-NOV-12	Patrick Patterson	12.46882793017456359102244389027431421446	0	-12.46882793017456359102244389027431421446	67
651	03-NOV-12	Carlos Delfino	10	0	-10	46
581	03-NOV-12	LeBron James	39.42828979793001478560867422375554460325	23.52941176470588235294117647058823529412	-15.89887803322413243266749775316730930913	76
582	03-NOV-12	Dwyane Wade	34.25925925925925925925925925925925925926	50	15.74074074074074074074074074074074074074	69
580	03-NOV-12	Chris Bosh	32.42042931162102146558105107327905255366	45.45454545454545454545454545454545454545	13.03411614292443307987349438126640199179	66
584	03-NOV-12	Shane Battier	9.55165692007797270955165692007797270955	40	30.44834307992202729044834307992202729045	45
583	03-NOV-12	Mario Chalmers	35.29980657640232108317214700193423597679	57.14285714285714285714285714285714285714	21.84305056645482177397071014092290688035	54
585	03-NOV-12	Ray Allen	22.53218884120171673819742489270386266094	8.33333333333333333333333333333333333333	-14.19885550786838340486409155937052932761	56
702	03-NOV-12	Mo Williams	17.91689152725310307609282245008094981112	69.23076923076923076923076923076923076923	51.31387770351612769313794678068828095811	70
706	03-NOV-12	Marvin Williams	18.29365079365079365079365079365079365079	0	-18.29365079365079365079365079365079365079	54
704	03-NOV-12	Al Jefferson	17.91794585542841194529723695227463019816	0	-17.91794585542841194529723695227463019816	63
703	03-NOV-12	Gordon Hayward	38.96507115135834411384217335058214747736	36.36363636363636363636363636363636363636	-2.601434787721980477478536986945783841	62
705	03-NOV-12	Paul Millsap	38.09402146142054164537557485947879407256	60	21.90597853857945835462442514052120592744	56
707	03-NOV-12	Randy Foye	17.73422562141491395793499043977055449331	12.5	-5.23422562141491395793499043977055449331	52
708	03-NOV-12	Derrick Favors	35.36352040816326530612244897959183673469	0	-35.36352040816326530612244897959183673469	46
613	03-NOV-12	Greivis Vasquez	14.71361008933263268523384130320546505518	22.22222222222222222222222222222222222222	7.50861213288958953698838091901675716704	73
615	03-NOV-12	Robin Lopez	23.81974248927038626609442060085836909871	40	16.18025751072961373390557939914163090129	69
616	03-NOV-12	Al-Farouq Aminu	24.48260678115367679436371642448260678115	0	-24.48260678115367679436371642448260678115	61
614	03-NOV-12	Austin Rivers	25.44584602000869943453675511091779034363	16.66666666666666666666666666666666666667	-8.77917935334203276787008844425112367696	63
612	03-NOV-12	Ryan Anderson	20.35206917850525015441630636195182211242	7.69230769230769230769230769230769230769	-12.65976148619755784672399866964412980473	73
554	03-NOV-12	Jason Thompson	31.64652567975830815709969788519637462236	0	-31.64652567975830815709969788519637462236	58
552	03-NOV-12	Tyreke Evans	29.71754807692307692307692307692307692308	26.66666666666666666666666666666666666667	-3.05088141025641025641025641025641025641	74
555	03-NOV-12	Isaiah Thomas	40.07285974499089253187613843351548269581	0	-40.07285974499089253187613843351548269581	49
553	03-NOV-12	DeMarcus Cousins	48.4976076555023923444976076555023923445	22.22222222222222222222222222222222222222	-26.27538543328017012227538543328017012228	67
556	03-NOV-12	James Johnson	26.00536193029490616621983914209115281501	40	13.99463806970509383378016085790884718499	41
557	03-NOV-12	Marcus Thornton	15.67051732797589151180311401305876443998	19.04761904761904761904761904761904761905	3.37710171964315610724450503456028317907	70
559	03-NOV-12	Chuck Hayes	23.72262773722627737226277372262773722628	0	-23.72262773722627737226277372262773722628	54
558	03-NOV-12	Aaron Brooks	17.88918205804749340369393139841688654354	0	-17.88918205804749340369393139841688654354	42
637	03-NOV-12	Damian Lillard	30.92631922888416925338996895932037248816	13.33333333333333333333333333333333333333	-17.59298589555083592005663562598703915483	80
634	03-NOV-12	Nicolas Batum	23.001443001443001443001443001443001443	36.36363636363636363636363636363636363636	13.36219336219336219336219336219336219336	82
635	03-NOV-12	LaMarcus Aldridge	27.16947648624667258207630878438331854481	6.89655172413793103448275862068965517241	-20.2729247621087415475935501636936633724	78
636	03-NOV-12	Wesley Matthews	22.12506624271330153683094859565447800742	0	-22.12506624271330153683094859565447800742	77
638	03-NOV-12	J.J. Hickson	43.5133457479826194909993792675356921167	20	-23.5133457479826194909993792675356921167	62
735	03-NOV-12	Chris Paul	31.7554240631163708086785009861932938856	222.222222222222222222222222222222222222	190.466798159105851413543721236028928336	67
734	03-NOV-12	Blake Griffin	40.42458100558659217877094972067039106145	133.333333333333333333333333333333333333	92.90875232774674115456238361266294227155	71
736	03-NOV-12	Caron Butler	13.27572663000785545954438334642576590731	10	-3.27572663000785545954438334642576590731	57
737	03-NOV-12	DeAndre Jordan	76.42241379310344827586206896551724137931	50	-26.42241379310344827586206896551724137931	45
