SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_THREE_ATT_PER36	THREE_ATT_PER36	CHANGE_IN_THPAP36	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	0.054607508532423208191126279863481228669	0	-0.054607508532423208191126279863481228669	62
164	31-OCT-12	Shawn Marion	1.82507421785795843799954327472025576616	2.48275862068965517241379310344827586207	0.65768440283169673441424982872802009591	62
162	31-OCT-12	Darren Collison	3.32517249054084130870242599599376808369	2.18181818181818181818181818181818181818	-1.14335430872265949052060781417558626551	65
163	31-OCT-12	O.J. Mayo	5.23908523908523908523908523908523908524	5.80645161290322580645161290322580645161	0.56736637381798672121252766414056736637	62
166	31-OCT-12	Brandan Wright	0.0696132596685082872928176795580110497237	0	-0.0696132596685082872928176795580110497237	46
168	31-OCT-12	Vince Carter	6.5145842403134523291249455811928602525	7.2	0.6854157596865476708750544188071397475	47
167	31-OCT-12	Jae Crowder	5.34725191799773613381964532763174443466	9.81818181818181818181818181818181818182	4.47092990018408204799853649055007374716	42
229	31-OCT-12	Pau Gasol	1.01017328116266070430408049189491335942	0	-1.01017328116266070430408049189491335942	80
228	31-OCT-12	Dwight Howard	0.0927070457354758961681087762669962917182	0	-0.0927070457354758961681087762669962917182	79
231	31-OCT-12	Metta World Peace	5.63353812793639320563787495482471991326	3.27272727272727272727272727272727272727	-2.36081085520912047836514768209744718599	69
230	31-OCT-12	Kobe Bryant	6.12951381884204155739358482953399233407	8.52631578947368421052631578947368421052	2.39680197063164265313273095993969187645	73
232	31-OCT-12	Steve Nash	2.90885585003232062055591467356173238526	2.25	-0.65885585003232062055591467356173238526	50
233	31-OCT-12	Steve Blake	5.18465836931673863347726695453390906782	1.28571428571428571428571428571428571429	-3.89894408360245291919155266881962335353	42
259	01-NOV-12	Tony Parker	1.30654000730727073438070880526123492875	2.05714285714285714285714285714285714286	0.75060284983558640847643405188162221411	70
262	01-NOV-12	Tim Duncan	0.0884113584036838066001534919416730621642	0	-0.0884113584036838066001534919416730621642	68
263	01-NOV-12	Kawhi Leonard	4.14194017197529369020225263412861814218	3.375	-0.76694017197529369020225263412861814218	66
261	01-NOV-12	Danny Green	6.72609699769053117782909930715935334873	6.17142857142857142857142857142857142857	-0.55466842626195974925767073573078192016	68
260	01-NOV-12	Boris Diaw	2.25036531904529956161714564052605942523	2.05714285714285714285714285714285714286	-0.19322246190244241876000278338320228237	65
264	01-NOV-12	Stephen Jackson	5.53846153846153846153846153846153846154	6.66666666666666666666666666666666666667	1.12820512820512820512820512820512820513	52
457	02-NOV-12	Kevin Durant	5.63326761068291808567843699587739738304	2.51162790697674418604651162790697674419	-3.12163970370617389963192536797042063885	84
458	02-NOV-12	Russell Westbrook	4.76979775280898876404494382022471910112	2.05714285714285714285714285714285714286	-2.71265489566613162118780096308186195826	72
459	02-NOV-12	Serge Ibaka	2.59233049631825571387587262121067227694	0	-2.59233049631825571387587262121067227694	58
460	02-NOV-12	Kendrick Perkins	0.0269125342636431597308746573635684026913	0	-0.0269125342636431597308746573635684026913	49
461	02-NOV-12	Thabo Sefolosha	3.37976346911957950065703022339027595269	0	-3.37976346911957950065703022339027595269	45
462	02-NOV-12	Kevin Martin	5.30015197568389057750759878419452887538	3.7241379310344827586206896551724137931	-1.57601404464940781888690912902211508228	62
463	02-NOV-12	Nick Collison	0.569533044143914263842817045164582801736	0	-0.569533044143914263842817045164582801736	48
572	03-NOV-12	Ty Lawson	2.99040061436068091642134903366184564188	0	-2.99040061436068091642134903366184564188	79
573	03-NOV-12	Andre Iguodala	3.24792083377197599747341825455311085377	4.5	1.25207916622802400252658174544688914623	76
574	03-NOV-12	Danilo Gallinari	5.68392204628501827040194884287454323995	8.75675675675675675675675675675675675676	3.07283471047173848635480791388221351681	72
576	03-NOV-12	Kosta Koufos	0	0	0	41
575	03-NOV-12	Kenneth Faried	0.0708382526564344746162927981109799291617	0	-0.0708382526564344746162927981109799291617	56
578	03-NOV-12	Corey Brewer	4.02613374327440430438124519600307455803	10.95652173913043478260869565217391304348	6.93038799585603047822745045617083848545	47
577	03-NOV-12	Andre Miller	0.9527410207939508506616257088846880907356	0	-0.9527410207939508506616257088846880907356	49
562	03-NOV-12	Paul George	6.75606002308580223162754905732974220854	5.25	-1.50606002308580223162754905732974220854	84
563	03-NOV-12	David West	0.2287529785544082605242255758538522637014	0.765957446808510638297872340425531914894	0.5372044682541023777736467645716796511926	81
564	03-NOV-12	George Hill	4.61662739818243015819589363850555368563	1.6	-3.01662739818243015819589363850555368563	79
566	03-NOV-12	Gerald Green	7.87302700806734479130129779024903542617	4.5	-3.37302700806734479130129779024903542617	56
565	03-NOV-12	Roy Hibbert	0.0474864429136743368019932580976110215448	0	-0.0474864429136743368019932580976110215448	67
567	03-NOV-12	Lance Stephenson	3.04458254525803836800864631180761956228	4.5	1.45541745474196163199135368819238043772	57
659	03-NOV-12	Gerald Henderson	2.36803076078000549299642955232079099149	0	-2.36803076078000549299642955232079099149	56
657	03-NOV-12	Kemba Walker	5.77913788580921570341872868759290023608	3.48387096774193548387096774193548387097	-2.29526691806728021954776094565741636511	64
656	03-NOV-12	Brendan Haywood	0.04	0	-0.04	62
655	03-NOV-12	Byron Mullens	5.73952095808383233532934131736526946108	9	3.26047904191616766467065868263473053892	63
658	03-NOV-12	Michael Kidd-Gilchrist	0.1320228839665542027284729353087868563884	0	-0.1320228839665542027284729353087868563884	47
661	03-NOV-12	Ben Gordon	6.11526794742163801820020222446916076845	1.89473684210526315789473684210526315789	-4.22053110531637486030546538236389761056	41
660	03-NOV-12	Ramon Sessions	2.22986923606331727460426703372333103923	3.85714285714285714285714285714285714286	1.62727362107953986825287582341952610363	49
692	03-NOV-12	Monta Ellis	3.35563380281690140845070422535211267606	5	1.64436619718309859154929577464788732394	73
694	03-NOV-12	Tobias Harris	3.92057089668011169717654359292584548557	2.76923076923076923076923076923076923077	-1.1513401274493424664073128236950762548	46
691	03-NOV-12	Brandon Jennings	5.89165950128976784178847807394668959587	4.86486486486486486486486486486486486486	-1.02679463642490297692361320908182473101	66
693	03-NOV-12	Ersan Ilyasova	4.86176836861768368617683686176836861768	5.33333333333333333333333333333333333333	0.47156496471564964715649647156496471565	52
696	03-NOV-12	Mike Dunleavy	4.89908256880733944954128440366972477064	7.2	2.30091743119266055045871559633027522936	58
698	03-NOV-12	Ekpe Udoh	0.0331797235023041474654377880184331797235	0	-0.0331797235023041474654377880184331797235	46
697	03-NOV-12	Larry Sanders	0.0475561426684280052840158520475561426684	0	-0.0475561426684280052840158520475561426684	52
530	03-NOV-12	Rajon Rondo	2.21263940520446096654275092936802973978	1.8	-0.41263940520446096654275092936802973978	81
534	03-NOV-12	Courtney Lee	3.56767036450079239302694136291600633915	4.96551724137931034482758620689655172414	1.39784687687851795180064484398054538499	62
531	03-NOV-12	Paul Pierce	5.54657980456026058631921824104234527687	8.22857142857142857142857142857142857143	2.68199162401116798510935318752908329456	63
535	03-NOV-12	Brandon Bass	0.230215827338129496402877697841726618705	0	-0.230215827338129496402877697841726618705	55
533	03-NOV-12	Kevin Garnett	0.2018152696209289909236518953550453817405	0	-0.2018152696209289909236518953550453817405	55
537	03-NOV-12	Jeff Green	3.99872813990461049284578696343402225755	4.5	0.50127186009538950715421303656597774245	43
536	03-NOV-12	Jason Terry	6.04758471521268925739005046863734679164	4.23529411764705882352941176470588235294	-1.8122905975656304338606387039314644387	42
532	03-NOV-12	Jared Sullinger	2.78980124472997390082312788596667335876	0	-2.78980124472997390082312788596667335876	48
624	03-NOV-12	Joakim Noah	0.0464782671065844211734327929995696456749	0	-0.0464782671065844211734327929995696456749	75
623	03-NOV-12	Luol Deng	3.29835222624751665303260488488956409957	2.51162790697674418604651162790697674419	-0.78672431927077246698609325698258735538	74
627	03-NOV-12	Richard Hamilton	1.6931690929451287793952967525195968645	0	-1.6931690929451287793952967525195968645	46
625	03-NOV-12	Carlos Boozer	0.0214669051878354203935599284436493738819	0	-0.0214669051878354203935599284436493738819	53
626	03-NOV-12	Kirk Hinrich	3.82915198009537632179141613103877254821	3	-0.82915198009537632179141613103877254821	41
629	03-NOV-12	Nate Robinson	6.10363059569968276348255199154035953472	7.5	1.39636940430031723651744800845964046528	51
628	03-NOV-12	Marco Belinelli	5.73245382585751978891820580474934036939	7.44827586206896551724137931034482758621	1.71582203621144572832317350559548721682	50
681	03-NOV-12	Anderson Varejao	0.1622746185852981969486823855755894590846	0	-0.1622746185852981969486823855755894590846	66
683	03-NOV-12	Kyrie Irving	5.50101160685762964540517516771376850176	2.18181818181818181818181818181818181818	-3.31919342503944782722335698589558668358	63
682	03-NOV-12	Alonzo Gee	2.37362637362637362637362637362637362637	3	0.62637362637362637362637362637362637363	61
685	03-NOV-12	Dion Waiters	4.61808917197452229299363057324840764331	2.48275862068965517241379310344827586207	-2.13533055128486712057983746980013178124	54
684	03-NOV-12	Tristan Thompson	0.015483870967741935483870967741935483871	0	-0.015483870967741935483870967741935483871	54
686	03-NOV-12	Daniel Gibson	6.43604651162790697674418604651162790698	5.14285714285714285714285714285714285714	-1.29318936877076411960132890365448504984	42
647	03-NOV-12	James Harden	7.53961715531863338987157741700993457718	5.26829268292682926829268292682926829268	-2.2713244723918041215788944901806662845	81
