SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_STEALS_PER36	STEALS_PER36	CHANGE_IN_SP36	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	1.09215017064846416382252559726962457338	4.15384615384615384615384615384615384615	3.06169598319768968233132055657652927277	62
164	31-OCT-12	Shawn Marion	1.34003197076958209636903402603334094542	0	-1.34003197076958209636903402603334094542	62
162	31-OCT-12	Darren Collison	1.52236812819942132205653238370799020699	1.09090909090909090909090909090909090909	-0.4314590372903304129656232927988992979	65
163	31-OCT-12	O.J. Mayo	1.10905310905310905310905310905310905311	0	-1.10905310905310905310905310905310905311	62
166	31-OCT-12	Brandan Wright	1.02430939226519337016574585635359116022	0	-1.02430939226519337016574585635359116022	46
168	31-OCT-12	Vince Carter	1.29037875489769264257727470613844144536	0	-1.29037875489769264257727470613844144536	47
167	31-OCT-12	Jae Crowder	1.53037353791975852094076216828071940636	0	-1.53037353791975852094076216828071940636	42
229	31-OCT-12	Pau Gasol	0.4708775852431525992174399105645612073788	0.9	0.4291224147568474007825600894354387926212	80
228	31-OCT-12	Dwight Howard	0.9419035846724351050679851668726823238556	0.8780487804878048780487804878048780487804	-0.0638548041846302270192046790678042750752	79
231	31-OCT-12	Metta World Peace	1.66534152511745572822551499819298879653	1.09090909090909090909090909090909090909	-0.57443243420836481913460590728389788744	69
230	31-OCT-12	Kobe Bryant	1.31450474077062739560217873713939882994	0	-1.31450474077062739560217873713939882994	73
232	31-OCT-12	Steve Nash	0.605042016806722689075630252100840336134	2.25	1.64495798319327731092436974789915966387	50
233	31-OCT-12	Steve Blake	1.07899415798831597663195326390652781306	2.57142857142857142857142857142857142857	1.49243441344025545193947530752204361551	42
259	01-NOV-12	Tony Parker	0.8593350383631713554987212276214833759588	0	-0.8593350383631713554987212276214833759588	70
262	01-NOV-12	Tim Duncan	0.9172678434382194934765924788948580199544	0	-0.9172678434382194934765924788948580199544	68
263	01-NOV-12	Kawhi Leonard	2.14508901538088894271527189051713697469	5.625	3.47991098461911105728472810948286302531	66
261	01-NOV-12	Danny Green	1.47159353348729792147806004618937644342	1.02857142857142857142857142857142857143	-0.44302210491586935004948861761794787199	68
260	01-NOV-12	Boris Diaw	0.7598636142230881636629322942036044812484	1.02857142857142857142857142857142857143	0.2687078143483404077656391343678240901816	65
264	01-NOV-12	Stephen Jackson	1.28977871443624868282402528977871443625	1.33333333333333333333333333333333333333	0.04355461889708465050930804355461889708	52
457	02-NOV-12	Kevin Durant	1.11632909123498834916651729700663201291	0	-1.11632909123498834916651729700663201291	84
458	02-NOV-12	Russell Westbrook	1.99982022471910112359550561797752808989	0	-1.99982022471910112359550561797752808989	72
459	02-NOV-12	Serge Ibaka	0.5164004972745529310509706416754327244912	0	-0.5164004972745529310509706416754327244912	58
460	02-NOV-12	Kendrick Perkins	0.7625218041365561923747819586344380762516	0	-0.7625218041365561923747819586344380762516	49
461	02-NOV-12	Thabo Sefolosha	1.80814717477003942181340341655716162943	0	-1.80814717477003942181340341655716162943	45
462	02-NOV-12	Kevin Martin	1.03951367781155015197568389057750759878	1.24137931034482758620689655172413793104	0.20186563253327743423121266114663033226	62
463	02-NOV-12	Nick Collison	0.9461597346261801479969379943863230415924	1.28571428571428571428571428571428571429	0.3395545510881055662887762913279626726976	48
572	03-NOV-12	Ty Lawson	1.42378087802380647638551132727505439652	1.75609756097560975609756097560975609756	0.33231668295180327971204964833470170104	79
573	03-NOV-12	Andre Iguodala	1.55005790083166649120960101063269817876	0.9	-0.65005790083166649120960101063269817876	76
574	03-NOV-12	Danilo Gallinari	0.9098660170523751522533495736906211936668	0	-0.9098660170523751522533495736906211936668	72
576	03-NOV-12	Kosta Koufos	0.9080779944289693593314763231197771587752	0	-0.9080779944289693593314763231197771587752	41
575	03-NOV-12	Kenneth Faried	1.10507674144037780401416765053128689492	1	-0.10507674144037780401416765053128689492	56
578	03-NOV-12	Corey Brewer	2.03382013835511145272867025365103766334	1.56521739130434782608695652173913043478	-0.46860274705076362664171373191190722856	47
577	03-NOV-12	Andre Miller	1.19578719956791790440183634890629219552	0	-1.19578719956791790440183634890629219552	49
562	03-NOV-12	Paul George	1.89072720277029626779530588687956906503	1.5	-0.39072720277029626779530588687956906503	84
563	03-NOV-12	David West	1.11040508339952343129467831612390786338	0.765957446808510638297872340425531914894	-0.344447636591012792996805975698375948486	81
564	03-NOV-12	George Hill	1.24806462470548636822618646920228879165	1.6	0.35193537529451363177381353079771120835	79
566	03-NOV-12	Gerald Green	0.8902139600140301648544370396352157137832	3	2.10978603998596983514556296036478428622	56
565	03-NOV-12	Roy Hibbert	0.5276271434852704089110362010845669060524	0	-0.5276271434852704089110362010845669060524	67
567	03-NOV-12	Lance Stephenson	0.9921642799243447716833288300459335314768	2.25	1.25783572007565522831667116995406646852	57
659	03-NOV-12	Gerald Henderson	0.8750343312276847020049436967865970887128	1.8	0.9249656687723152979950563032134029112872	56
657	03-NOV-12	Kemba Walker	1.50773804319314505552155285476960741453	3.48387096774193548387096774193548387097	1.97613292454879042834941488716587645644	64
656	03-NOV-12	Brendan Haywood	0.5199999999999999999999999999999999999984	0	-0.5199999999999999999999999999999999999984	62
655	03-NOV-12	Byron Mullens	1.13173652694610778443113772455089820359	0	-1.13173652694610778443113772455089820359	63
658	03-NOV-12	Michael Kidd-Gilchrist	0.9664075106351767639724218864603197887628	6.66666666666666666666666666666666666667	5.70025915603148990269424478020634687791	47
