SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_TWO_ATT_PER36	TWO_ATT_PER36	CHANGE_IN_TPAP36	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	9.7474402730375426621160409556313993174	11.07692307692307692307692307692307692308	1.32948280388553426096088212129167760568	62
164	31-OCT-12	Shawn Marion	8.9773920986526604247545101621374743092	6.20689655172413793103448275862068965517	-2.77049554692852249372002740351678465403	62
162	31-OCT-12	Darren Collison	8.72156688181615846872913420876919652793	10.90909090909090909090909090909090909091	2.18752402727475062217995670032171256298	65
163	31-OCT-12	O.J. Mayo	8.05594405594405594405594405594405594406	4.64516129032258064516129032258064516129	-3.41078276562147529889465373336341078277	62
166	31-OCT-12	Brandan Wright	10.51160220994475138121546961325966850829	11.07692307692307692307692307692307692308	0.56532086697832554186145346366340841479	46
168	31-OCT-12	Vince Carter	6.31084022638223770134958641706573791903	14.4	8.08915977361776229865041358293426208097	47
167	31-OCT-12	Jae Crowder	5.70947050685448371274053578166268393913	8.18181818181818181818181818181818181818	2.47234767496369810544128240015549787905	42
229	31-OCT-12	Pau Gasol	13.63935159306875349357182783678032420347	12.6	-1.03935159306875349357182783678032420347	80
228	31-OCT-12	Dwight Howard	11.1582200247218788627935723114956736712	13.17073170731707317073170731707317073171	2.01251168259519430793813500557749706051	79
231	31-OCT-12	Metta World Peace	5.88073726057101554029634983736899168775	2.18181818181818181818181818181818181818	-3.69891907875283372211453165555080986957	69
230	31-OCT-12	Kobe Bryant	13.82771837805124066975993544482549929393	10.42105263157894736842105263157894736842	-3.40666574647229330133888281324655192551	73
232	31-OCT-12	Steve Nash	7.49321266968325791855203619909502262443	4.5	-2.99321266968325791855203619909502262443	50
233	31-OCT-12	Steve Blake	3.04495808991617983235966471932943865888	3.85714285714285714285714285714285714286	0.81218476722667731049747813781341848398	42
259	01-NOV-12	Tony Parker	13.16624040920716112531969309462915601023	11.31428571428571428571428571428571428571	-1.85195469492144683960540738034344172452	70
262	01-NOV-12	Tim Duncan	14.0629316960859554873369148119723714505	20.11764705882352941176470588235294117647	6.05471536273757392442779107038056972597	68
263	01-NOV-12	Kawhi Leonard	10.74288482499697226595615841104517379193	5.625	-5.11788482499697226595615841104517379193	66
261	01-NOV-12	Danny Green	3.88267898383371824480369515011547344111	3.08571428571428571428571428571428571429	-0.79696469811943253051798086440118772682	68
260	01-NOV-12	Boris Diaw	7.3882123721383341451534339990258158792	4.11428571428571428571428571428571428571	-3.27392665785261985943914828474010159349	65
