SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FGP	FG_PERCENTAGE	CHANGE_IN_FGP	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	48.74651810584958217270194986072423398329	25	-23.74651810584958217270194986072423398329	62
164	31-OCT-12	Shawn Marion	50.60882800608828006088280060882800608828	28.57142857142857142857142857142857142857	-22.03739943465970863231137203739943465971	62
162	31-OCT-12	Darren Collison	47.52244762221483205853009644163618224144	50	2.47755237778516794146990355836381775856	65
163	31-OCT-12	O.J. Mayo	42.32343909928352098259979529170931422723	33.33333333333333333333333333333333333333	-8.9901057659501876492664619583759808939	62
166	31-OCT-12	Brandan Wright	62.96992481203007518796992481203007518797	87.5	24.53007518796992481203007518796992481203	46
168	31-OCT-12	Vince Carter	40.65173116089613034623217922606924643585	25	-15.65173116089613034623217922606924643585	47
167	31-OCT-12	Jae Crowder	43.36609336609336609336609336609336609337	27.27272727272727272727272727272727272727	-16.0933660933660933660933660933660933661	42
229	31-OCT-12	Pau Gasol	47.60989010989010989010989010989010989011	50	2.39010989010989010989010989010989010989	80
228	31-OCT-12	Dwight Howard	59.29466051417270929466051417270929466051	60	0.70533948582729070533948582729070533949	79
231	31-OCT-12	Metta World Peace	38.19209039548022598870056497175141242938	80	41.80790960451977401129943502824858757062	69
230	31-OCT-12	Kobe Bryant	41.08442503639010189228529839883551673945	50	8.91557496360989810771470160116448326055	73
232	31-OCT-12	Steve Nash	47.65100671140939597315436241610738255034	33.33333333333333333333333333333333333333	-14.31767337807606263982102908277404921701	50
233	31-OCT-12	Steve Blake	39.66666666666666666666666666666666666667	75	35.33333333333333333333333333333333333333	42
259	01-NOV-12	Tony Parker	49.43956376855498333838230839139654650106	46.15384615384615384615384615384615384615	-3.28571761470882949222846223755039265491	70
262	01-NOV-12	Tim Duncan	49.74619289340101522842639593908629441624	42.10526315789473684210526315789473684211	-7.64092973550627838632113278119155757413	68
263	01-NOV-12	Kawhi Leonard	49.38488576449912126537785588752196836555	25	-24.38488576449912126537785588752196836555	66
261	01-NOV-12	Danny Green	41.30094043887147335423197492163009404389	55.55555555555555555555555555555555555556	14.25461511668408220132358063392546151167	68
260	01-NOV-12	Boris Diaw	50.6973923590054578532443905397210430564	66.66666666666666666666666666666666666667	15.96927430766120881342227612694562361027	65
264	01-NOV-12	Stephen Jackson	36.80555555555555555555555555555555555556	40	3.19444444444444444444444444444444444444	52
457	02-NOV-12	Kevin Durant	51.37937093656650852222807942365137937094	50	-1.37937093656650852222807942365137937094	84
458	02-NOV-12	Russell Westbrook	43.57585139318885448916408668730650154799	54.16666666666666666666666666666666666667	10.59081527347781217750257997936016511868	72
459	02-NOV-12	Serge Ibaka	50.58729311265349706353443673251468232782	27.27272727272727272727272727272727272727	-23.31456583992622433626170945978740960055	58
460	02-NOV-12	Kendrick Perkins	46.64679582712369597615499254843517138599	0	-46.64679582712369597615499254843517138599	49
461	02-NOV-12	Thabo Sefolosha	46.11528822055137844611528822055137844612	33.33333333333333333333333333333333333333	-12.78195488721804511278195488721804511279	45
462	02-NOV-12	Kevin Martin	43.63718411552346570397111913357400722022	45.45454545454545454545454545454545454545	1.81736133902198884148342632097144732523	62
463	02-NOV-12	Nick Collison	52.20883534136546184738955823293172690763	83.33333333333333333333333333333333333333	31.1244979919678714859437751004016064257	48
572	03-NOV-12	Ty Lawson	44.4277108433734939759036144578313253012	46.66666666666666666666666666666666666667	2.23895582329317269076305220883534136547	79
573	03-NOV-12	Andre Iguodala	47.12340799297321036451471234079929732104	60	12.87659200702678963548528765920070267896	76
574	03-NOV-12	Danilo Gallinari	42.19959266802443991853360488798370672098	17.64705882352941176470588235294117647059	-24.55253384449502815382772253504253025039	72
576	03-NOV-12	Kosta Koufos	53.53535353535353535353535353535353535354	25	-28.53535353535353535353535353535353535354	41
575	03-NOV-12	Kenneth Faried	54.32618683001531393568147013782542113323	73.33333333333333333333333333333333333333	19.0071465033180193976518631955079122001	56
578	03-NOV-12	Corey Brewer	42.90490341753343239227340267459138187221	40	-2.90490341753343239227340267459138187221	47
577	03-NOV-12	Andre Miller	50.53533190578158458244111349036402569593	80	29.46466809421841541755888650963597430407	49
562	03-NOV-12	Paul George	42.93577981651376146788990825688073394495	40	-2.93577981651376146788990825688073394495	84
563	03-NOV-12	David West	50.68493150684931506849315068493150684932	33.33333333333333333333333333333333333333	-17.35159817351598173515981735159817351599	81
564	03-NOV-12	George Hill	45.8802816901408450704225352112676056338	41.17647058823529411764705882352941176471	-4.70381110190555095277547638773819386909	79
566	03-NOV-12	Gerald Green	40.74524098825435398946942081814499797489	66.66666666666666666666666666666666666667	25.92142567841231267719724584852166869178	56
565	03-NOV-12	Roy Hibbert	44.82919981282171268132896583996256434254	54.54545454545454545454545454545454545455	9.71625473263283277321648870549198111201	67
567	03-NOV-12	Lance Stephenson	45.51838083436596447748864105741429161504	33.33333333333333333333333333333333333333	-12.18504750103263114415530772408095828171	57
659	03-NOV-12	Gerald Henderson	43.55195283714075165806927044952100221076	22.22222222222222222222222222222222222222	-21.32973061491852943584704822729877998854	56
657	03-NOV-12	Kemba Walker	41.90762298159969958693203154337213668795	40	-1.90762298159969958693203154337213668795	64
656	03-NOV-12	Brendan Haywood	41.1042944785276073619631901840490797546	53.84615384615384615384615384615384615385	12.74185936762623879188296366210476639925	62
655	03-NOV-12	Byron Mullens	39.85102420856610800744878957169459962756	38.88888888888888888888888888888888888889	-0.96213531967721911855990068280571073867	63
658	03-NOV-12	Michael Kidd-Gilchrist	47.25956566701137538779731127197518097208	50	2.74043433298862461220268872802481902792	47
661	03-NOV-12	Ben Gordon	41.00227790432801822323462414578587699317	33.33333333333333333333333333333333333333	-7.66894457099468488990129081245254365984	41
660	03-NOV-12	Ramon Sessions	41.96294441662493740610916374561842764146	61.53846153846153846153846153846153846154	19.57551712183660105542929779284311082008	49
692	03-NOV-12	Monta Ellis	44.29967426710097719869706840390879478827	40	-4.29967426710097719869706840390879478827	73
694	03-NOV-12	Tobias Harris	46.51948051948051948051948051948051948052	66.66666666666666666666666666666666666667	20.14718614718614718614718614718614718615	46
691	03-NOV-12	Brandon Jennings	38.86323268206039076376554174067495559503	38.46153846153846153846153846153846153846	-0.40169422052192922530400327913649405657	66
693	03-NOV-12	Ersan Ilyasova	44.88355681016231474947071277346506704305	12.5	-32.38355681016231474947071277346506704305	52
696	03-NOV-12	Mike Dunleavy	43.13137372525494901019796040791841631674	83.33333333333333333333333333333333333333	40.20195960807838432313537292541491701659	58
698	03-NOV-12	Ekpe Udoh	44.4987775061124694376528117359413202934	50	5.5012224938875305623471882640586797066	46
697	03-NOV-12	Larry Sanders	49.33530280649926144756277695716395864106	88.88888888888888888888888888888888888889	39.55358608238962744132611193172493024783	52
530	03-NOV-12	Rajon Rondo	44.8153967007069913589945011783189316575	50	5.1846032992930086410054988216810683425	81
534	03-NOV-12	Courtney Lee	45.98408104196816208393632416787264833575	28.57142857142857142857142857142857142857	-17.41265247053959065536489559644407690718	62
531	03-NOV-12	Paul Pierce	42.4836601307189542483660130718954248366	45.45454545454545454545454545454545454545	2.97088532382650029708853238265002970885	63
535	03-NOV-12	Brandon Bass	51.13268608414239482200647249190938511327	33.33333333333333333333333333333333333333	-17.79935275080906148867313915857605177994	55
533	03-NOV-12	Kevin Garnett	46.30053394355453852021357742181540808543	46.66666666666666666666666666666666666667	0.36613272311212814645308924485125858124	55
537	03-NOV-12	Jeff Green	43.5682326621923937360178970917225950783	50	6.4317673378076062639821029082774049217	43
536	03-NOV-12	Jason Terry	41.44645340751043115438108484005563282337	25	-16.44645340751043115438108484005563282337	42
532	03-NOV-12	Jared Sullinger	43.59351988217967599410898379970544918999	66.66666666666666666666666666666666666667	23.07314678448699067255768286696121747668	48
624	03-NOV-12	Joakim Noah	46.63840096910963052695336159903089036947	33.33333333333333333333333333333333333333	-13.30506763577629719362002826569755703614	75
623	03-NOV-12	Luol Deng	44.07760381211708645336963921034717494894	40	-4.07760381211708645336963921034717494894	74
627	03-NOV-12	Richard Hamilton	43.86422976501305483028720626631853785901	20	-23.86422976501305483028720626631853785901	46
625	03-NOV-12	Carlos Boozer	48.60383944153577661431064572425828970332	12.5	-36.10383944153577661431064572425828970332	53
626	03-NOV-12	Kirk Hinrich	40.01629991850040749796251018744906275469	12.5	-27.51629991850040749796251018744906275469	41
629	03-NOV-12	Nate Robinson	41.94603434178250204415372035977105478332	37.5	-4.44603434178250204415372035977105478332	51
628	03-NOV-12	Marco Belinelli	42.37415477084898572501878287002253944403	40	-2.37415477084898572501878287002253944403	50
681	03-NOV-12	Anderson Varejao	49.69097651421508034610630407911001236094	76.92307692307692307692307692307692307692	27.23210040886184273081677284396691071598	66
683	03-NOV-12	Kyrie Irving	46.36894824707846410684474123539232053422	55.55555555555555555555555555555555555556	9.18660730847709144871081432016323502134	63
