SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FT_ATT_PER36	FT_ATT_PER36	CHANGE_IN_FTAP36	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	2.10238907849829351535836177474402730375	2.76923076923076923076923076923076923077	0.66684169073247571541086899448674192702	62
164	31-OCT-12	Shawn Marion	1.28248458552180863210778716601963918703	0	-1.28248458552180863210778716601963918703	62
162	31-OCT-12	Darren Collison	3.56554640551969730692187847763187180058	3.27272727272727272727272727272727272727	-0.29281913279242457964915120490459907331	65
163	31-OCT-12	O.J. Mayo	2.5991305991305991305991305991305991306	4.64516129032258064516129032258064516129	2.04603069119198151456215972345004603069	62
166	31-OCT-12	Brandan Wright	3.02320441988950276243093922651933701658	2.76923076923076923076923076923076923077	-0.25397365065873353166170845728856778581	46
168	31-OCT-12	Vince Carter	2.82107096212451023073574227252938615586	7.2	4.37892903787548976926425772747061384414	47
167	31-OCT-12	Jae Crowder	2.86152685196830587347503458684442208527	3.27272727272727272727272727272727272727	0.411200420758966853797692685882850642	42
229	31-OCT-12	Pau Gasol	4.50754611514812744550027948574622694243	1.8	-2.70754611514812744550027948574622694243	80
228	31-OCT-12	Dwight Howard	8.7626699629171817058096415327564894932	16.68292682926829268292682926829268292683	7.92025686635111097711718773553619343363	79
231	31-OCT-12	Metta World Peace	2.70617997831586555836646187206360679436	0	-2.70617997831586555836646187206360679436	69
230	31-OCT-12	Kobe Bryant	6.58704861811579584426064151704660076659	6.63157894736842105263157894736842105263	0.04453032925262520837093743032182028604	73
232	31-OCT-12	Steve Nash	2.51325145442792501616031027795733678087	0	-2.51325145442792501616031027795733678087	50
233	31-OCT-12	Steve Blake	0.9875539751079502159004318008636017272052	0	-0.9875539751079502159004318008636017272052	42
259	01-NOV-12	Tony Parker	3.82754841066861527219583485568140299598	2.05714285714285714285714285714285714286	-1.77040555352575812933869199853854585312	70
262	01-NOV-12	Tim Duncan	4.74658480429777436684574059861857252494	6.35294117647058823529411764705882352941	1.60635637217281386844837704844025100447	68
263	01-NOV-12	Kawhi Leonard	4.46893544871018529732348310524403536393	2.25	-2.21893544871018529732348310524403536393	66
261	01-NOV-12	Danny Green	1.15565819861431870669745958429561200924	0	-1.15565819861431870669745958429561200924	68
260	01-NOV-12	Boris Diaw	1.64247442766682903068679980516317584023	4.11428571428571428571428571428571428571	2.47181128661888525502748590912253844548	65
264	01-NOV-12	Stephen Jackson	2.01053740779768177028451001053740779768	2.66666666666666666666666666666666666667	0.65612925886898489638215665612925886899	52
457	02-NOV-12	Kevin Durant	7.52070263488080301129234629861982434128	10.04651162790697674418604651162790697674	2.52580899302617373289370021300808263546	84
458	02-NOV-12	Russell Westbrook	8.1643146067415730337078651685393258427	8.22857142857142857142857142857142857143	0.06425682182985553772070626003210272873	72
459	02-NOV-12	Serge Ibaka	2.24462082815339007363488572248254757579	2.66666666666666666666666666666666666667	0.42204583851327659303178094418411909088	58
460	02-NOV-12	Kendrick Perkins	1.91976077747321206080239222526787939198	0	-1.91976077747321206080239222526787939198	49
461	02-NOV-12	Thabo Sefolosha	1.49802890932982917214191852825229960578	0	-1.49802890932982917214191852825229960578	45
462	02-NOV-12	Kevin Martin	5.14285714285714285714285714285714285714	7.44827586206896551724137931034482758621	2.30541871921182266009852216748768472907	62
463	02-NOV-12	Nick Collison	2.01173768818576167389640214340392957387	2.57142857142857142857142857142857142857	0.5596908832428097546750264280246418547	48
572	03-NOV-12	Ty Lawson	4.67682068347625751951875079994880327659	0	-4.67682068347625751951875079994880327659	79
573	03-NOV-12	Andre Iguodala	2.33835140541109590483208758816717549216	3.6	1.26164859458890409516791241183282450784	76
574	03-NOV-12	Danilo Gallinari	6.41839220462850182704019488428745432399	8.75675675675675675675675675675675675676	2.33836455212825492971656187246930243277	72
576	03-NOV-12	Kosta Koufos	2.2172701949860724233983286908077994429	0	-2.2172701949860724233983286908077994429	41
575	03-NOV-12	Kenneth Faried	4.85478158205430932703659976387249114522	1	-3.85478158205430932703659976387249114522	56
578	03-NOV-12	Corey Brewer	3.30668716372021521906225980015372790162	0	-3.30668716372021521906225980015372790162	47
577	03-NOV-12	Andre Miller	2.72211720226843100189035916824196597353	1.28571428571428571428571428571428571429	-1.43640291655414528760464488252768025924	49
562	03-NOV-12	Paul George	5.10773374374759522893420546363986148519	1.5	-3.60773374374759522893420546363986148519	84
563	03-NOV-12	David West	3.38840349483717235901509134233518665608	3.06382978723404255319148936170212765958	-0.3245737076031298058236019806330589965	81
564	03-NOV-12	George Hill	2.98081454055873443285089195557051497812	4	1.01918545944126556714910804442948502188	79
566	03-NOV-12	Gerald Green	2.78428621536303051560855840056120659418	6	3.21571378463696948439144159943879340582	56
565	03-NOV-12	Roy Hibbert	3.64062729004836582148614978748351165176	1.67441860465116279069767441860465116279	-1.96620868539720303078847536887886048897	67
567	03-NOV-12	Lance Stephenson	2.54363685490407997838422048095109429884	1.125	-1.41863685490407997838422048095109429884	57
659	03-NOV-12	Gerald Henderson	4.02911288107662730019225487503433122768	7.2	3.17088711892337269980774512496566877232	56
657	03-NOV-12	Kemba Walker	4.99536591763574363906618868584418990994	2.32258064516129032258064516129032258064	-2.6727852724744533164855435245538673293	64
656	03-NOV-12	Brendan Haywood	2.48	0	-2.48	62
655	03-NOV-12	Byron Mullens	2.37125748502994011976047904191616766467	0	-2.37125748502994011976047904191616766467	63
658	03-NOV-12	Michael Kidd-Gilchrist	3.74944990465013935748863136276954672143	12	8.25055009534986064251136863723045327857	47
661	03-NOV-12	Ben Gordon	2.7300303336703741152679474216380182002	3.78947368421052631578947368421052631579	1.05944335054015220052152626257250811559	41
660	03-NOV-12	Ramon Sessions	6.5347556779077770130763936682725395733	6.42857142857142857142857142857142857143	-0.10618424933634844164782223970111100187	49
692	03-NOV-12	Monta Ellis	3.81338028169014084507042253521126760563	8	4.18661971830985915492957746478873239437	73
694	03-NOV-12	Tobias Harris	3.61898852001241079739373254731616506361	0	-3.61898852001241079739373254731616506361	46
691	03-NOV-12	Brandon Jennings	3.68357695614789337919174548581255374033	1.94594594594594594594594594594594594595	-1.73763101020194743324579953986660779438	66
693	03-NOV-12	Ersan Ilyasova	2.99875466998754669987546699875466998755	2.66666666666666666666666666666666666667	-0.33208800332088003320880033208800332088	52
696	03-NOV-12	Mike Dunleavy	2.01834862385321100917431192660550458716	5.14285714285714285714285714285714285714	3.12450851900393184796854521625163826998	58
698	03-NOV-12	Ekpe Udoh	2.80368663594470046082949308755760368663	3.13043478260869565217391304347826086957	0.32674814666399519134441995592065718294	46
697	03-NOV-12	Larry Sanders	2.61558784676354029062087186261558784677	2.4	-0.21558784676354029062087186261558784677	52
530	03-NOV-12	Rajon Rondo	1.76208178438661710037174721189591078067	0	-1.76208178438661710037174721189591078067	81
534	03-NOV-12	Courtney Lee	1.88652931854199683042789223454833597464	0	-1.88652931854199683042789223454833597464	62
531	03-NOV-12	Paul Pierce	4.46775244299674267100977198697068403909	4.11428571428571428571428571428571428571	-0.35346672871102838529548627268496975338	63
535	03-NOV-12	Brandon Bass	3.63741007194244604316546762589928057554	1.28571428571428571428571428571428571429	-2.35169578622816032887975334018499486125	55
533	03-NOV-12	Kevin Garnett	2.45061398825413774693005872931126534971	2.48275862068965517241379310344827586207	0.03214463243551742548373437413701051236	55
537	03-NOV-12	Jeff Green	4.01780604133545310015898251192368839428	4.5	0.48219395866454689984101748807631160572	43
536	03-NOV-12	Jason Terry	1.12905551550108147080028839221341023792	8.47058823529411764705882352941176470588	7.34153271979303617625853513719835446796	42
532	03-NOV-12	Jared Sullinger	3.29572375025095362377032724352539650672	0	-3.29572375025095362377032724352539650672	48
624	03-NOV-12	Joakim Noah	3.54784105580261081623870319896714961985	3.34883720930232558139534883720930232558	-0.19900384650028523484335436175784729427	75
623	03-NOV-12	Luol Deng	3.30255930816875073039616688091620895174	8.37209302325581395348837209302325581395	5.06953371508706322309220521210704686221	74
627	03-NOV-12	Richard Hamilton	3.06382978723404255319148936170212765958	0	-3.06382978723404255319148936170212765958	46
625	03-NOV-12	Carlos Boozer	3.47763864042933810375670840787119856887	2.76923076923076923076923076923076923077	-0.7084078711985688729874776386404293381	53
626	03-NOV-12	Kirk Hinrich	1.64959568733153638814016172506738544474	0	-1.64959568733153638814016172506738544474	41
629	03-NOV-12	Nate Robinson	3.15967571378216425801903419104688050758	3	-0.15967571378216425801903419104688050758	51
628	03-NOV-12	Marco Belinelli	2.6691292875989445910290237467018469657	3.7241379310344827586206896551724137931	1.0550086434355381675916659084705668274	50
681	03-NOV-12	Anderson Varejao	3.382801664355062413314840499306518724	0	-3.382801664355062413314840499306518724	66
683	03-NOV-12	Kyrie Irving	4.77648812693003939942498136513683313811	8.72727272727272727272727272727272727273	3.95078460034268787330229136213589413462	63
682	03-NOV-12	Alonzo Gee	2.50549450549450549450549450549450549451	4	1.49450549450549450549450549450549450549	61
685	03-NOV-12	Dion Waiters	3.3477707006369426751592356687898089172	4.96551724137931034482758620689655172414	1.61774654074236766966835053810674280694	54
684	03-NOV-12	Tristan Thompson	3.8516129032258064516129032258064516129	9.6	5.7483870967741935483870967741935483871	54
686	03-NOV-12	Daniel Gibson	1.67441860465116279069767441860465116279	3.42857142857142857142857142857142857143	1.75415282392026578073089700996677740864	42
647	03-NOV-12	James Harden	9.80470075115095711170341652532105645748	8.7804878048780487804878048780487804878	-1.02421294627290833121561164727227596968	81
649	03-NOV-12	Jeremy Lin	4.67730546532975568422539189380031069058	1.94594594594594594594594594594594594595	-2.73135951938380973827944594785436474463	77
650	03-NOV-12	Omer Asik	4.26783754116355653128430296377607025247	0	-4.26783754116355653128430296377607025247	70
646	03-NOV-12	Chandler Parsons	2.55371601208459214501510574018126888217	0	-2.55371601208459214501510574018126888217	78
648	03-NOV-12	Patrick Patterson	1.21441101065982998245850762380245580893	0	-1.21441101065982998245850762380245580893	67
651	03-NOV-12	Carlos Delfino	1.33764135702746365105008077544426494346	0	-1.33764135702746365105008077544426494346	46
581	03-NOV-12	LeBron James	6.95540170664949283529222347448075994204	3.69230769230769230769230769230769230769	-3.26309401434180052759991578217306763435	76
582	03-NOV-12	Dwyane Wade	5.94060698357445882736865005982813009899	6.35294117647058823529411764705882352941	0.41233419289612940792546758723069343042	69
580	03-NOV-12	Chris Bosh	4.74582392776523702031602708803611738149	9.23076923076923076923076923076923076923	4.48494530300399374891474214273311338774	66
584	03-NOV-12	Shane Battier	0.6810810810810810810810810810810810810804	3.42857142857142857142857142857142857143	2.74749034749034749034749034749034749035	45
583	03-NOV-12	Mario Chalmers	3.52515090543259557344064386317907444668	4.23529411764705882352941176470588235294	0.71014321221446325008876790152680790626	54
585	03-NOV-12	Ray Allen	2.41148325358851674641148325358851674641	1.24137931034482758620689655172413793104	-1.17010394324368916020458670186437881537	56
702	03-NOV-12	Mo Williams	2.56041131105398457583547557840616966581	8.30769230769230769230769230769230769231	5.7472809966383231164722167292861380265	70
706	03-NOV-12	Marvin Williams	1.89581905414667580534612748457847840987	0	-1.89581905414667580534612748457847840987	54
704	03-NOV-12	Al Jefferson	3.22208281053952321204516938519447929736	0	-3.22208281053952321204516938519447929736	63
703	03-NOV-12	Gordon Hayward	5.65810895428929242329367564182842830307	4	-1.65810895428929242329367564182842830307	62
705	03-NOV-12	Paul Millsap	5.53246753246753246753246753246753246753	6.96774193548387096774193548387096774194	1.43527440301633850020946795140343527441	56
707	03-NOV-12	Randy Foye	2.00089887640449438202247191011235955056	1.44	-0.56089887640449438202247191011235955056	52
708	03-NOV-12	Derrick Favors	4.57476796149879683740116878652457889309	0	-4.57476796149879683740116878652457889309	46
613	03-NOV-12	Greivis Vasquez	1.92036578395884930462945322918651171652	4	2.07963421604115069537054677081348828348	73
615	03-NOV-12	Robin Lopez	2.63646360237519243457224543655157246536	4.36363636363636363636363636363636363636	1.727172761261171201791390927084791171	69
616	03-NOV-12	Al-Farouq Aminu	2.32960893854748603351955307262569832402	0	-2.32960893854748603351955307262569832402	61
