SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_POINTS_PER36	POINTS_PER36	CHANGE_IN_PP36	COMBINED_MINUTES
1408	08-NOV-12	Blake Griffin	22.36577857976860205922938116972720517992	9.69230769230769230769230769230769230769	-12.67347088746090975153707347741951287223	56
1409	08-NOV-12	Caron Butler	13.81485468245425188374596340150699677072	3.42857142857142857142857142857142857143	-10.38628325388282331231739197293556819929	42
1411	08-NOV-12	Jamal Crawford	19.63177570093457943925233644859813084112	32.14285714285714285714285714285714285714	12.51108144192256341789052069425901201602	55
1412	08-NOV-12	Matt Barnes	12.62381852551984877126654064272211720227	6.66666666666666666666666666666666666667	-5.9571518588531821045998739760554505356	54
1588	09-NOV-12	Kevin Durant	27.80820935651550457071159706040509051802	23.68421052631578947368421052631578947368	-4.12399883019971509702738653408930104434	76
1589	09-NOV-12	Serge Ibaka	15.78464186669216792579133594721239361194	25.71428571428571428571428571428571428571	9.92964384759354635992294976707332067377	72
1590	09-NOV-12	Russell Westbrook	26.30184269662921348314606741573033707865	11.61290322580645161290322580645161290323	-14.68893947082276187024284160927872417542	67
1591	09-NOV-12	Kendrick Perkins	6.68327934213805133316720657861948666833	11.17241379310344827586206896551724137931	4.48913445096539694269486238689775471098	49
1592	09-NOV-12	Thabo Sefolosha	10.06044678055190538764783180026281208936	5.76	-4.30044678055190538764783180026281208936	64
1593	09-NOV-12	Kevin Martin	19.91489361702127659574468085106382978723	17.45454545454545454545454545454545454545	-2.46034816247582205029013539651837524178	64
1705	10-NOV-12	Evan Turner	13.52658382562640048889794255449174984722	7.78378378378378378378378378378378378378	-5.74280004184261670511415877070796606344	78
1706	10-NOV-12	Jrue Holiday	18.19119878603945371775417298937784522003	16.45714285714285714285714285714285714286	-1.73405592889659657489703013223498807717	77
1707	10-NOV-12	Thaddeus Young	15.42669344531677925871827642870184407523	16.94117647058823529411764705882352941177	1.51448302527145603539937063012168533654	75
1708	10-NOV-12	Dorell Wright	14.41769041769041769041769041769041769042	20	5.58230958230958230958230958230958230958	63
1709	10-NOV-12	Lavoy Allen	9.94408240487702333403405507672903090183	0	-9.94408240487702333403405507672903090183	44
