SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_BLOCKS_PER36	BLOCKS_PER36	CHANGE_IN_BP36	COMBINED_MINUTES
554	03-NOV-12	Jason Thompson	1.01556420233463035019455252918287937743	4.5	3.48443579766536964980544747081712062257	58
552	03-NOV-12	Tyreke Evans	0.421967601738443303042275780323982615566	1.63636363636363636363636363636363636364	1.21439603462519306059408785603965374807	74
555	03-NOV-12	Isaiah Thomas	0.1181360752570553489389630277838547363815	0	-0.1181360752570553489389630277838547363815	49
553	03-NOV-12	DeMarcus Cousins	1.41932875050545895673271330367974120501	0.8571428571428571428571428571428571428568	-0.5621858933626018138755704465368840621532	67
556	03-NOV-12	James Johnson	1.48484848484848484848484848484848484848	5.4	3.91515151515151515151515151515151515152	41
557	03-NOV-12	Marcus Thornton	0.2089423903697334479793637145313843508169	0	-0.2089423903697334479793637145313843508169	70
559	03-NOV-12	Chuck Hayes	0.3159742539496781743709771796372147454652	3.1764705882352941176470588235294117647	2.86049633428561594327608164389219701923	54
558	03-NOV-12	Aaron Brooks	0.2924451665312753858651502843216896831844	1.02857142857142857142857142857142857143	0.7361262620401531855634211442497388882456	42
637	03-NOV-12	Damian Lillard	0.2778263982814861961969926008433447370515	0	-0.2778263982814861961969926008433447370515	80
634	03-NOV-12	Nicolas Batum	0.6826761187416925121843154630039875941512	1.6	0.9173238812583074878156845369960124058488	82
635	03-NOV-12	LaMarcus Aldridge	1.12119828294821444880811032971047584254	1.71428571428571428571428571428571428571	0.59308743133749983690617538457523844317	78
636	03-NOV-12	Wesley Matthews	0.2288412640755539411551035234289865601162	0	-0.2288412640755539411551035234289865601162	77
638	03-NOV-12	J.J. Hickson	0.91724573594440934933670246367656348705	1	0.08275426405559065066329753632343651295	62
735	03-NOV-12	Chris Paul	0.1787234042553191489361702127659574468085	0	-0.1787234042553191489361702127659574468085	67
734	03-NOV-12	Blake Griffin	0.5426175565226621377773060184693769238936	0	-0.5426175565226621377773060184693769238936	71
736	03-NOV-12	Caron Butler	0.2131324004305705059203444564047362755651	1.125	0.9118675995694294940796555435952637244349	57
737	03-NOV-12	DeAndre Jordan	2.18768221574344023323615160349854227405	3.27272727272727272727272727272727272727	1.08504505698383249403657566922873045322	45
739	03-NOV-12	Jamal Crawford	0.227102803738317757009345794392523364486	0	-0.227102803738317757009345794392523364486	63
740	03-NOV-12	Matt Barnes	0.874966243586281393464758304077774777208	1.5	0.625033756413718606535241695922225222792	52
723	03-NOV-12	Stephen Curry	0.2221270031707944125460622161282029308424	0	-0.2221270031707944125460622161282029308424	86
725	03-NOV-12	Klay Thompson	0.588743151253528142121866179644695334552	0	-0.588743151253528142121866179644695334552	66
724	03-NOV-12	David Lee	0.620027434842249657064471879286694101508	0	-0.620027434842249657064471879286694101508	64
727	03-NOV-12	Harrison Barnes	0.2309459977020298736116430486403676752202	0	-0.2309459977020298736116430486403676752202	43
728	03-NOV-12	Jarrett Jack	0.1996303142329020332717190388170055452865	0	-0.1996303142329020332717190388170055452865	59
729	03-NOV-12	Carl Landry	0.5974576271186440677966101694915254237292	1.125	0.5275423728813559322033898305084745762708	56
726	03-NOV-12	Festus Ezeli	2.53924914675767918088737201365187713311	1.28571428571428571428571428571428571429	-1.25353486104339346660165772793759141882	41
803	04-NOV-12	Kyle Lowry	0.3174428217139707908514742353265362358776	0	-0.3174428217139707908514742353265362358776	72
805	04-NOV-12	Andrea Bargnani	1.1463327370304114490161001788908765653	0	-1.1463327370304114490161001788908765653	58
804	04-NOV-12	DeMar DeRozan	0.2829076620825147347740667976424361493124	0	-0.2829076620825147347740667976424361493124	66
807	04-NOV-12	Landry Fields	0.2115869017632241813602015113350125944584	0	-0.2115869017632241813602015113350125944584	43
810	04-NOV-12	Amir Johnson	1.44452501812907904278462654097171863669	1.56521739130434782608695652173913043478	0.12069237317526878330232998076741179809	40
808	04-NOV-12	Alan Anderson	0.1540289992869027810791537913002139291657	0	-0.1540289992869027810791537913002139291657	44
870	05-NOV-12	Jrue Holiday	0.5540862779102536310427053977888575764148	0	-0.5540862779102536310427053977888575764148	75
873	05-NOV-12	Evan Turner	0.3043389692401711142798940721124465267875	0	-0.3043389692401711142798940721124465267875	64
